timestamp,avg_response_time,throughput,http_error_count,ballerina_error_count
2020-07-08 04:51:35.260000+00:00,915.236864,0.0991375037176564,0,0
2020-07-08 04:51:45.376000+00:00,26.458812,0.09885330170027679,0,0
2020-07-08 04:52:15.603000+00:00,16.67002,0.19896538002387584,0,0
2020-07-08 04:52:35.724000+00:00,68.76449,0.09933445912387008,3,0
2020-07-08 05:00:29.904000+00:00,10.395044,0.0979431929480901,3,0
2020-07-08 05:00:39.994000+00:00,96.12353966666667,0.29732408325074333,1,0
2020-07-08 05:01:20.263000+00:00,10.213643,0.0991571641051066,3,0
2020-07-08 05:01:30.368000+00:00,7.435631,0.09896091044037604,3,0
2020-07-08 05:01:50.512000+00:00,147.368423,0.0993147283742179,1,0
2020-07-08 06:01:55.034000+00:00,11.359214295454544,8.741432402900566,1,0
2020-07-08 06:02:05.121000+00:00,10.07794240181269,65.62902746108854,1,0
2020-07-08 06:04:36.283000+00:00,4.9573238961303465,48.613861386138616,1,0
2020-07-08 06:04:46.422000+00:00,5.527233191780822,115.19873754808165,1,0
2020-07-08 06:04:56.462000+00:00,6.460252397435897,93.22709163346615,1,0
2020-07-08 06:05:06.529000+00:00,3.5607680452625226,164.59719876825272,1,0
2020-07-08 06:05:16.721000+00:00,3.2882965395725017,169.83908948194662,1,0
2020-07-08 06:05:26.810000+00:00,2.873572766192733,188.22479928635147,1,0
2020-07-08 06:05:36.885000+00:00,2.3599321067193677,100.44665012406948,1,0
2020-07-08 07:09:43.812000+00:00,5.813982584707647,66.37476365807544,1,0
2020-07-08 07:09:53.858000+00:00,3.4366905575797007,152.9962173999602,1,0
2020-07-08 07:10:03.931000+00:00,2.4143587431018076,208.6766603792316,1,0
2020-07-08 07:10:14.023000+00:00,2.6736390746500778,191.14149821640905,1,0
2020-07-08 07:10:24.111000+00:00,2.551401186888454,202.61697065820778,1,0
2020-07-08 07:10:34.198000+00:00,2.2066615825932505,223.25765837216218,1,0
2020-07-08 07:10:44.272000+00:00,2.3376896699186993,61.04824300178678,1,0
2020-07-08 07:48:25.495000+00:00,2.2974750191919195,98.2240301617224,1,0
2020-07-08 07:48:35.557000+00:00,2.2613191355617457,214.0727489564699,1,0
2020-07-08 07:48:45.639000+00:00,2.2629240555555556,217.81392580837135,1,0
2020-07-08 07:48:55.731000+00:00,2.255298512151215,220.17439556084025,1,0
2020-07-08 07:49:05.777000+00:00,2.2310071576576576,220.98347601035238,1,0
2020-07-08 07:49:15.851000+00:00,2.149073785123967,228.21123684732976,1,0
2020-07-08 07:49:25.891000+00:00,2.1754642779587403,91.73306772908367,1,0
2020-07-08 07:53:07.457000+00:00,2.2134677752293577,43.28832406671962,1,0
2020-07-08 07:53:17.500000+00:00,2.196673010994045,217.36532908493479,1,0
2020-07-08 07:53:27.549000+00:00,2.250367902168897,215.6433475967758,1,0
2020-07-08 07:53:37.608000+00:00,2.186643164414414,88.27915299731585,1,0
